Ranking,CompanyName,TaxPaid,Link,Industry,Type,TotalProfit,MarketCap,TotalRevenue,Full Earnings,Full Revenue
1,Tập đoàn Dầu khí Việt Nam,94888,https://cafef.vn/du-lieu//otc/PVN-tap-doan-dau-khi-viet-nam.chn,Dầu khí,SOE,117908112000,,1208698287000,True,True
2,Tập đoàn Công nghiệp - Viễn thông Quân đội (Viettel),"37818,29",https://cafef.vn/du-lieu//otc/VIETTEL-tap-doan-cong-nghiep-vien-thong-quan-doi-viettel.chn,Công nghệ - Viễn thông,SOE,,,0,False,False
3,Tập đoàn Xăng dầu Việt Nam,"33396,80",https://cafef.vn/du-lieu//hose/PLX-tap-doan-xang-dau-viet-nam.chn,Xăng dầu,SOE,2883816507,"45614,26",284411845357,True,True
4,Tập đoàn Vingroup - CTCP,"30903,80",https://cafef.vn/du-lieu//hose/VIC-tap-doan-vingroup-ctcp.chn,"Bất động sản, Ô tô",Private,10894508315,"303598,73",255477482883,True,True
5,Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,29216,https://cafef.vn/du-lieu//otc/VINACOMIN-tap-doan-cong-nghiep-than-khoang-san-viet-nam.chn,Than,SOE,,,0,False,False
6,Liên doanh Việt - Nga Vietsovpetro,24000,https://cafef.vn/du-lieu//otc/VIETSOVPETRO-lien-doanh-viet-nga-vietsovpetro.chn,Dầu khí,Foreign,,,0,False,False
7,Công ty Ô tô Toyota Việt Nam,"21388,50",https://cafef.vn/du-lieu//otc/TOYOTAVN-cong-ty-o-to-toyota-viet-nam.chn,Ô tô,Foreign,,,0,False,False
8,Tập đoàn Điện lực Việt Nam - Công ty TNHH MTV,21000,https://cafef.vn/du-lieu//otc/EVN-tap-doan-dien-luc-viet-nam-cong-ty-tnhh-mtv.chn,Điện năng,SOE,,,0,False,False
9,Công ty cổ phần tập đoàn Trường Hải,21000,https://cafef.vn/du-lieu//otc/THA-cong-ty-co-phan-tap-doan-truong-hai.chn,Ô tô,Private,18014467405,,150413333210,True,True
10,Công ty TNHH Lọc hóa dầu Nghi Sơn,20000,https://cafef.vn/du-lieu//otc/NSRP-cong-ty-tnhh-loc-hoa-dau-nghi-son.chn,Dầu khí,Foreign,,,0,False,False
